book_id,translator_id
115076,33130
105144,30543
25277,14441
36714,4702
19941,2634
14109,569
67445,24867
76229,32803
25342,43843
58825,442
41530,23745
14025,5746
101356,54924
112151,31863
112151,51963
45609,15472
13329,639
58102,5308
105356,28889
12000,3587
96673,52172
9874,5941
120784,21664
100800,31863
25266,14649
9166,5066
56525,818
63869,35003
51907,8749
95405,50245
95405,51242
54804,3543
54964,3543
72639,1011
10752,6375
48714,8267
31044,7694
53873,7535
25290,378
61049,10537
44894,25423
13754,660
82579,37922
12625,639
45096,25114
56872,8325
89058,48144
55300,3126
70486,31863
16402,3260
1806,3067
99202,228
22086,4960
10985,5144
114248,66553
62339,4927
30350,6874
12646,752
113135,2231
87974,4513
73212,10054
95348,51188
4645,2430
64191,34974
16340,9504
1459,660
119965,44544
42034,46062
5558,1027
103181,3090
38636,22156
25293,378
25291,378
25294,378
58217,28000
44964,3274
836,1026
104687,17037
88768,44117
27248,15894
14898,2920
21642,257
62651,34275
104887,27000
31227,10146
54954,22563
39778,3031
56507,2756
29097,2775
29097,11572
31218,16087
24058,5930
15930,4502
72208,31341
17883,7024
44256,25141
22144,12989
85169,30081
37220,14961
96110,31420
120555,53266
3521,4026
3519,4025
1863,2461
13625,7963
29840,17281
46529,26423
252,350
60686,8031
57694,5736
60815,27357
34605,4459
34500,19935
